id,project_id,employee_id,role_on_project,allocation_pct,start_date,end_date,is_active
assignment-emp-demo-youssef-1,proj-3,emp-demo-youssef,Référent,60,2026-01-15,,true
assignment-emp-demo-youssef-2,proj-22,emp-demo-youssef,Contributeur,30,2025-12-29,,true
assignment-emp-demo-fatima-1,proj-9,emp-demo-fatima,Référent,60,2026-01-02,,true
assignment-emp-demo-fatima-2,proj-4,emp-demo-fatima,Contributeur,30,2026-01-05,,true
assignment-emp-demo-karim-1,proj-4,emp-demo-karim,Référent,60,2026-06-04,,true
assignment-emp-demo-karim-2,proj-21,emp-demo-karim,Contributeur,30,2025-12-30,,true
assignment-emp-demo-sara-1,proj-14,emp-demo-sara,Référent,60,2026-05-17,,true
assignment-emp-demo-sara-2,proj-16,emp-demo-sara,Contributeur,30,2026-01-28,,true
assignment-emp-demo-admin-1,proj-23,emp-demo-admin,Référent,60,2026-01-05,,true
assignment-emp-demo-admin-2,proj-5,emp-demo-admin,Contributeur,30,2026-04-28,,true
assignment-emp-1-1,proj-13,emp-1,Référent,60,2026-04-25,,true
assignment-emp-1-2,proj-3,emp-1,Contributeur,30,2026-03-23,,true
assignment-emp-2-1,proj-22,emp-2,Référent,60,2026-05-18,,true
assignment-emp-2-2,proj-10,emp-2,Contributeur,30,2026-05-27,,true
assignment-emp-3-1,proj-8,emp-3,Référent,60,2026-01-15,,true
assignment-emp-3-2,proj-7,emp-3,Contributeur,30,2026-05-01,,true
assignment-emp-4-1,proj-24,emp-4,Référent,60,2026-06-04,,true
assignment-emp-4-2,proj-15,emp-4,Contributeur,30,2026-05-13,,true
assignment-emp-5-1,proj-1,emp-5,Référent,60,2026-02-11,,true
assignment-emp-5-2,proj-6,emp-5,Contributeur,30,2026-03-10,,true
assignment-emp-6-1,proj-6,emp-6,Référent,60,2026-04-07,,true
assignment-emp-6-2,proj-19,emp-6,Contributeur,30,2026-03-22,,true
assignment-emp-7-1,proj-17,emp-7,Référent,60,2026-05-26,,true
assignment-emp-7-2,proj-22,emp-7,Contributeur,30,2026-04-14,,true
assignment-emp-8-1,proj-20,emp-8,Référent,60,2026-02-02,,true
assignment-emp-8-2,proj-18,emp-8,Contributeur,30,2026-05-11,,true
assignment-emp-9-1,proj-3,emp-9,Référent,60,2026-01-06,,true
assignment-emp-9-2,proj-1,emp-9,Contributeur,30,2026-02-21,,true
assignment-emp-10-1,proj-5,emp-10,Référent,60,2026-04-12,,true
assignment-emp-10-2,proj-22,emp-10,Contributeur,30,2026-05-04,,true
assignment-emp-11-1,proj-demo-onboarding,emp-11,Référent,60,2026-01-05,,true
assignment-emp-11-2,proj-19,emp-11,Contributeur,30,2026-03-28,,true
assignment-emp-12-1,proj-4,emp-12,Référent,60,2026-05-22,,true
assignment-emp-12-2,proj-12,emp-12,Contributeur,30,2026-05-21,,true
assignment-emp-13-1,proj-3,emp-13,Référent,60,2026-05-04,,true
assignment-emp-13-2,proj-1,emp-13,Contributeur,30,2025-12-30,,true
assignment-emp-14-1,proj-21,emp-14,Référent,60,2025-12-21,,true
assignment-emp-14-2,proj-10,emp-14,Contributeur,30,2026-04-30,,true
