id,employee_id,score,source,pulse_label,comment,trend,risk_band,source_signals,captured_at
engagement-emp-demo-youssef-0,emp-demo-youssef,83,manager_review,engaged,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 2, ""overdue_tasks"": 1, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2026-05-15T10:00:00+00:00
engagement-emp-demo-youssef-1,emp-demo-youssef,81,manager_review,engaged,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-06-15T10:00:00+00:00
engagement-emp-demo-fatima-0,emp-demo-fatima,80,survey,engaged,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 1, ""overdue_tasks"": 3, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2025-11-15T10:00:00+00:00
engagement-emp-demo-fatima-1,emp-demo-fatima,79,survey,stable,Mesure mensuelle d'engagement.,-1,low,"{""absences_30j"": 1, ""overdue_tasks"": 4, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2025-12-15T10:00:00+00:00
engagement-emp-demo-fatima-2,emp-demo-fatima,80,manager_review,engaged,Mesure mensuelle d'engagement.,1,low,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 1}",2026-01-15T10:00:00+00:00
engagement-emp-demo-fatima-3,emp-demo-fatima,76,survey,stable,Mesure mensuelle d'engagement.,-4,low,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 0, ""active_projects"": 3}",2026-02-15T10:00:00+00:00
engagement-emp-demo-fatima-4,emp-demo-fatima,80,pulse,watch,Mesure mensuelle d'engagement.,4,low,"{""absences_30j"": 3, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-03-15T10:00:00+00:00
engagement-emp-demo-fatima-5,emp-demo-fatima,78,survey,stable,Mesure mensuelle d'engagement.,-2,low,"{""absences_30j"": 0, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 3}",2026-04-15T10:00:00+00:00
engagement-emp-demo-fatima-6,emp-demo-fatima,81,manager_review,boost,Mesure mensuelle d'engagement.,3,low,"{""absences_30j"": 1, ""overdue_tasks"": 0, ""mandatory_training_gap"": 0, ""active_projects"": 2}",2026-05-15T10:00:00+00:00
engagement-emp-demo-fatima-7,emp-demo-fatima,77,survey,engaged,Mesure mensuelle d'engagement.,-4,low,"{""absences_30j"": 2, ""overdue_tasks"": 2, ""mandatory_training_gap"": 1, ""active_projects"": 2}",2026-06-15T10:00:00+00:00
