id,employee_id,target_department_id,target_job_id,request_type,status,rationale,requested_at,reviewed_at
mobility-youssef-001,emp-demo-youssef,dep-2,job-13,skill_growth,submitted,Souhaite élargir son périmètre frontend et expérience collaborateur.,2026-06-05T11:30:11.454511+00:00,
8dcc6ada-5aad-4861-9694-6cfda9988a3a,emp-4,dep-4,job-24,promotion_track,rejected,Souhait d'évolution vers un nouveau périmètre.,2026-02-07T11:30:11.454518+00:00,2026-02-21T11:30:11.454518+00:00
8e5d4e9c-6ea8-464a-b554-5daffd417797,emp-14,dep-5,job-29,skill_growth,submitted,Rapprochement géographique avec une autre équipe.,2026-03-09T11:30:11.454545+00:00,
96d750f3-b72b-4703-80d7-37f6ef1a6080,emp-19,dep-5,job-26,skill_growth,rejected,Intérêt pour un projet stratégique dans ce département.,2025-11-30T11:30:11.454551+00:00,2025-12-23T11:30:11.454551+00:00
2ccb7bf9-afc8-4426-946b-0ca76a940b37,emp-21,dep-6,job-31,skill_growth,reviewed,Envie de développer de nouvelles compétences.,2026-01-05T11:30:11.454557+00:00,2026-02-04T11:30:11.454557+00:00
0ff0d53c-75a5-4e23-89cb-44bc9425f796,emp-30,dep-2,job-11,internal_move,draft,Rapprochement géographique avec une autre équipe.,2025-12-30T11:30:11.454562+00:00,
1ac14903-80e8-4d54-a421-32c12990bfed,emp-34,dep-4,job-22,promotion_track,submitted,Souhait d'évolution vers un nouveau périmètre.,2026-05-22T11:30:11.454566+00:00,
400fbc99-94e7-44de-8437-7129e49d1ace,emp-40,dep-6,job-32,skill_growth,reviewed,Envie de développer de nouvelles compétences.,2026-05-17T11:30:11.454570+00:00,2026-06-04T11:30:11.454570+00:00
d14afa16-a70a-4b1a-9085-4a4ea52a44f5,emp-41,dep-3,job-17,skill_growth,submitted,Envie de développer de nouvelles compétences.,2025-09-01T11:30:11.454576+00:00,
668f3628-ca1e-42b8-84ec-7de0695766ab,emp-46,dep-2,job-9,skill_growth,reviewed,Intérêt pour un projet stratégique dans ce département.,2025-12-01T11:30:11.454580+00:00,2025-12-19T11:30:11.454580+00:00
8dc4905a-1ff3-40ee-a656-a3f635fbb60b,emp-53,dep-4,job-21,promotion_track,submitted,Souhait d'évolution vers un nouveau périmètre.,2025-11-17T11:30:11.454585+00:00,
14a244a1-7d91-4066-8f77-bb69b21b45e4,emp-54,dep-1,job-1,internal_move,submitted,Intérêt pour un projet stratégique dans ce département.,2026-01-20T11:30:11.454589+00:00,
fdea65b1-04a3-4199-8e7d-7a50564d8ef5,emp-55,dep-6,job-31,skill_growth,approved,Intérêt pour un projet stratégique dans ce département.,2025-10-28T11:30:11.454592+00:00,2025-11-17T11:30:11.454592+00:00
9773761e-776a-4b2a-a203-18455aeebe6c,emp-60,dep-2,job-15,promotion_track,draft,Rapprochement géographique avec une autre équipe.,2026-05-26T11:30:11.454597+00:00,
c384cd7e-7ff8-42d0-b674-bdd92e82c3b3,emp-74,dep-6,job-31,promotion_track,submitted,Intérêt pour un projet stratégique dans ce département.,2025-11-28T11:30:11.454601+00:00,
e7370a63-7c0e-47bd-8e3a-c833ffa01d3c,emp-78,dep-4,job-21,skill_growth,reviewed,Envie de développer de nouvelles compétences.,2026-01-03T11:30:11.454605+00:00,2026-01-24T11:30:11.454605+00:00
0cb5fae6-6df6-4d97-ac1e-0a77a09c52ec,emp-80,dep-1,job-3,promotion_track,reviewed,Intérêt pour un projet stratégique dans ce département.,2026-05-09T11:30:11.454609+00:00,2026-05-18T11:30:11.454609+00:00
b1845e06-cbae-4a8e-8a8b-acd915f46080,emp-83,dep-3,job-18,internal_move,submitted,Rapprochement géographique avec une autre équipe.,2026-01-29T11:30:11.454614+00:00,
841190e3-d70c-4457-a74b-b3054779b033,emp-86,dep-1,job-1,internal_move,rejected,Souhait d'évolution vers un nouveau périmètre.,2025-09-07T11:30:11.454617+00:00,2025-09-24T11:30:11.454617+00:00
3f4bf5b9-f679-49b6-8bb0-836d7292d33b,emp-88,dep-6,job-32,internal_move,draft,Intérêt pour un projet stratégique dans ce département.,2025-09-22T11:30:11.454622+00:00,
b422d10a-57c0-483e-80e0-bb5c64c416f8,emp-91,dep-3,job-18,promotion_track,submitted,Intérêt pour un projet stratégique dans ce département.,2026-03-25T11:30:11.454625+00:00,
401ad62b-2a1f-4cd5-a6cd-50ad2fe7401e,emp-93,dep-5,job-28,promotion_track,draft,Envie de développer de nouvelles compétences.,2026-02-04T11:30:11.454629+00:00,
