id,employee_id,previous_job_title,new_job_title,effective_date,notes
promotion-emp-demo-fatima,emp-demo-fatima,Lead Engineer,Engineering Manager,2025-11-11,Évolution de poste validée par la direction.
promotion-emp-demo-karim,emp-demo-karim,HR Business Partner,Responsable RH,2025-11-11,Évolution de poste validée par la direction.
6f0714d6-5d59-4e78-88b5-c73dcc86e8b3,emp-9,Assistant,Engineering Manager,2025-06-01,Prise de responsabilité élargie.
cc7eacd6-88d5-4fa9-a299-77c68d5fbad5,emp-14,Stagiaire,HR Business Partner,2026-01-20,Promotion suite à l'évaluation annuelle.
e2b7d66c-f7df-4ac5-afda-d0105621ad55,emp-17,Stagiaire,SDR,2024-11-27,Promotion suite à l'évaluation annuelle.
89abafbb-a1a2-4e95-93c2-4ef7a37616aa,emp-19,Stagiaire,Directeur Commercial,2024-10-06,Reconnaissance de la montée en compétence.
af59d2d2-2581-42e1-980d-65ad80388fb0,emp-25,Stagiaire,Data Scientist,2024-03-23,Prise de responsabilité élargie.
c279a402-b2bb-4774-911f-cf64ebfe58d1,emp-28,Consultant Junior,Directeur Marketing,2025-07-29,Prise de responsabilité élargie.
a9d6e252-4c77-45e7-9fe5-c7bc62be0006,emp-43,Analyste,COO,2024-07-11,Reconnaissance de la montée en compétence.
2e0e971f-1bb5-44b7-b1b0-9856e45792bc,emp-67,Stagiaire,Engineering Manager,2025-06-02,Promotion suite à l'évaluation annuelle.
13c9caad-e9f6-4fcb-a8d6-fe7ea38fbe1e,emp-75,Analyste,Product Marketing Manager,2025-01-09,Prise de responsabilité élargie.
2dfb44ab-0f1a-4fc8-b476-b92ebd02ed1d,emp-76,Chargé de mission,Directeur Financier,2023-11-24,Reconnaissance de la montée en compétence.
fef874c8-ab3c-4816-bdd9-c47f1f32680d,emp-77,Stagiaire,Content Creator,2024-05-20,Reconnaissance de la montée en compétence.
0d5e1125-d694-4abf-b7b0-0d96fed08d4a,emp-85,Assistant,Office Manager,2025-09-22,Évolution naturelle dans le parcours de carrière.
